30Z,30Z,70Z,70Z,55R,55R,70R,70R
Flow,Head,Flow,Head,Flow,Head,Flow,Head
0.307786218,10.8240506,0.819665627,20.24305886,0.75075643,8.203902935,1.468089632,9.666403291
0.50504612,10.81883547,1.658850881,20.26145723,1.87575643,8.179068688,2.791297059,9.657093603
0.720238741,10.81304089,2.498036135,20.28721494,3.00075643,8.154234441,4.114504485,9.644060038
0.935431362,10.8072463,3.337221389,20.27617592,4.12575643,8.122096004,5.437711912,9.625440661
1.150623983,10.79913388,4.176406643,20.25409788,5.25075643,8.091418405,6.760919339,9.603097408
1.365816603,10.79102146,5.015591897,20.24305886,6.37575643,8.053436616,8.084126766,9.573306404
1.581009224,10.78290904,5.854777151,20.22834017,7.50075643,8.013993989,9.407334192,9.541653463
1.796201845,10.77131987,6.693962405,20.19890278,8.62575643,7.971629685,10.73054162,9.50255277
2.011394466,10.7597307,7.533147659,20.15842637,9.75075643,7.927804544,12.05374905,9.463452078
2.226587086,10.74814152,8.372332913,20.12162963,10.87575643,7.87813605,13.37695647,9.418765572
2.441779707,10.73539344,9.211518167,20.07379388,12.00075643,7.827006719,14.7001639,9.366631315
2.656972328,10.7191686,10.05070342,20.0149191,13.12575643,7.771494873,16.02337133,9.312635121
2.872164948,10.70526159,10.88988867,19.95236465,14.25075643,7.714522189,17.34657875,9.254915051
3.087357569,10.68787783,11.72907393,19.8750915,15.37575643,7.654627829,18.66978618,9.193471105
3.30255019,10.66933516,12.56825918,19.80149803,16.50075643,7.590350955,19.99299361,9.126441347
3.517742811,10.64963356,13.40744444,19.70950619,17.62575643,7.523152405,21.31620103,9.059411588
3.732935431,10.62761414,14.24662969,19.60647533,18.75075643,7.453032178,22.63940846,8.988657954
3.948128052,10.60327688,15.08581494,19.4997648,19.87575643,7.378529438,23.96261589,8.910456569
4.163320673,10.5777807,15.9250002,19.38201525,21.00075643,7.302565859,25.28582331,8.834117122
4.378513294,10.55460236,16.76418545,19.25690635,22.12575643,7.222219767,26.60903074,8.748467986
4.593705914,10.53142401,17.60337071,19.1097194,23.25075643,7.140412836,27.93223817,8.666542725
4.808898535,10.50592784,18.44255596,18.96621214,24.37575643,7.052762553,29.25544559,8.575307776
5.024091156,10.47347815,19.28174121,18.8043065,25.50075643,6.962190594,30.57865302,8.482210889
5.239283776,10.44102847,20.12092647,18.62768217,26.62575643,6.870157797,31.90186045,8.389114002
5.454476397,10.40857879,20.96011172,18.44369849,27.75075643,6.772281648,33.22506787,8.286707426
5.669669018,10.37381128,21.79929698,18.24499612,28.87575643,6.670022984,34.5482753,8.188024726
5.884861639,10.3413616,22.63848223,18.03157505,30.00075643,6.564842645,35.87148273,8.081894275
6.100054259,10.30195841,23.47766748,17.81079464,31.12575643,6.459662306,37.19469015,7.973901886
6.31524688,10.26487306,24.31685274,17.55321749,32.15700643,6.363246994,38.51789758,7.86404756
6.530439501,10.22199313,25.15603799,17.30667936,33.09450643,6.261572666,39.84110501,7.752331295
